horizon,Model,Stacja,Zmienne,MAPE,BIAS
Forecast_-18D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.2144960059968169,10.604675736362436
Forecast_-19D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.22272735916716987,10.556597543257165
Forecast_-20D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.23202024455135226,10.577202483159423
Forecast_-21D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.23279761243641592,10.611544049663188
Forecast_-22D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.23879597134908107,10.693963809272223
Forecast_-23D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.24658058283138073,10.900013208294808
Forecast_-24D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.2543233222893299,11.078589354114383
Forecast_-25D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.2667142823572951,11.016774534407608
Forecast_-26D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.27668289531358836,11.044247787610619
Forecast_-27D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.28539071590908305,11.09232598071589
Forecast_-28D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.2919135413877,11.161009113723418
Forecast_-29D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.29394200928342723,11.28463875313697
Forecast_-30D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.29100396593114813,11.442609959054286
